Name,Team,Reason,Potantial Return,Status,Date
Takumi Minamino,"Liverpool
TRACK
6",Other,No Return Date,50%,29/12/2022
Adrian San Miguel del Castillo,"Liverpool
TRACK
6",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Harvey Elliott,"Liverpool
TRACK
6",Ankle/Foot Injury,No Return Date,Ruled Out,29/12/2022
Ferran Torres Garcia,"Manchester City
TRACK
6",Ankle/Foot Injury,01/01/2022,Ruled Out,29/12/2022
John Stones,"Manchester City
TRACK
6",Other,29/12/2021,25%,29/12/2022
Liam Delap,"Manchester City
TRACK
6",Ankle/Foot Injury,No Return Date,Ruled Out,29/12/2022
Benjamin Mendy,"Manchester City
TRACK
6",Suspended,No Return Date,Ruled Out,29/12/2022
Kyle Walker,"Manchester City
TRACK
6",Illness,No Return Date,Ruled Out,29/12/2022
Rodrigo Hernandez Cascante,"Manchester City
TRACK
6",Illness,No Return Date,Ruled Out,29/12/2022
Paul Pogba,"Manchester United
TRACK
4",Groin/Hip/Pelvic Injury,10/01/2022,Ruled Out,29/12/2022
Bruno Fernandes,"Manchester United
TRACK
4",Suspended,03/01/2022,Ruled Out,29/12/2022
Anthony Martial,"Manchester United
TRACK
4",Knee Injury,30/12/2021,75%,29/12/2022
Victor Lindelof,"Manchester United
TRACK
4",Illness,No Return Date,Ruled Out,29/12/2022
Federico Fernandez,"Newcastle United
TRACK
13",Thigh Injury,22/01/2022,Ruled Out,29/12/2022
Jamal Lewis,"Newcastle United
TRACK
13",Thigh Injury,15/01/2022,Ruled Out,29/12/2022
Javier Manquillo,"Newcastle United
TRACK
13",Suspended,02/01/2022,Ruled Out,29/12/2022
Isaac Hayden,"Newcastle United
TRACK
13",Suspended,30/12/2021,100%,29/12/2022
Fabian Schar,"Newcastle United
TRACK
13",Thigh Injury,30/12/2021,50%,29/12/2022
Paul Dummett,"Newcastle United
TRACK
13",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Callum Wilson,"Newcastle United
TRACK
13",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Allan Saint-Maximin,"Newcastle United
TRACK
13",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Karl Darlow,"Newcastle United
TRACK
13",Other,No Return Date,25%,29/12/2022
Ciaran Clark,"Newcastle United
TRACK
13",Other,No Return Date,Ruled Out,29/12/2022
Joseph Willock,"Newcastle United
TRACK
13",Other,No Return Date,Ruled Out,29/12/2022
Matt Ritchie,"Newcastle United
TRACK
13",Other,No Return Date,Ruled Out,29/12/2022
Ryan Fraser,"Newcastle United
TRACK
13",Thigh Injury,No Return Date,25%,29/12/2022
Grant Hanley,"Norwich City
TRACK
11",Shoulder Injury,15/01/2022,Ruled Out,29/12/2022
Christoph Zimmermann,"Norwich City
TRACK
11",Ankle/Foot Injury,15/01/2022,Ruled Out,29/12/2022
Andrew Omobamidele,"Norwich City
TRACK
11",Lower Back Injury,09/01/2022,Ruled Out,29/12/2022
Milot Rashica,"Norwich City
TRACK
11",Groin/Hip/Pelvic Injury,01/01/2022,50%,29/12/2022
Lukas Rupp,"Norwich City
TRACK
11",Illness,01/01/2022,50%,29/12/2022
Dimitris Giannoulis,"Norwich City
TRACK
11",Other,No Return Date,25%,29/12/2022
Tim Krul,"Norwich City
TRACK
11",Illness,No Return Date,Ruled Out,29/12/2022
Mathias Normann,"Norwich City
TRACK
11",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,29/12/2022
Maximillian Aarons,"Norwich City
TRACK
11",Illness,No Return Date,Ruled Out,29/12/2022
Todd Cantwell,"Norwich City
TRACK
11",Illness,No Return Date,Ruled Out,29/12/2022
Teemu Pukki,"Norwich City
TRACK
11",Other,No Return Date,25%,29/12/2022
Alex McCarthy,"Southampton
TRACK
9",Thigh Injury,08/01/2022,Ruled Out,29/12/2022
Kyle Walker-Peters,"Southampton
TRACK
9",Suspended,08/01/2022,Ruled Out,29/12/2022
Jack Stephens,"Southampton
TRACK
9",Illness,02/01/2022,50%,29/12/2022
Lyanco Silveira Neves Vojnovic,"Southampton
TRACK
9",Illness,02/01/2022,50%,29/12/2022
William Smallbone,"Southampton
TRACK
9",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
Nathan Tella,"Southampton
TRACK
9",Illness,No Return Date,Ruled Out,29/12/2022
Mohamed Salisu,"Southampton
TRACK
9",Suspended,No Return Date,Ruled Out,29/12/2022
Valentino Livramento,"Southampton
TRACK
9",Knee Injury,No Return Date,25%,29/12/2022
Che Adams,"Southampton
TRACK
9",Illness,No Return Date,Ruled Out,29/12/2022
Steven Bergwijn,"Tottenham Hotspur
TRACK
4",Calf/Shin/Heel Injury,16/01/2022,Ruled Out,29/12/2022
Cristian Romero,"Tottenham Hotspur
TRACK
4",Thigh Injury,16/01/2022,Ruled Out,29/12/2022
Giovani Lo Celso,"Tottenham Hotspur
TRACK
4",Calf/Shin/Heel Injury,16/01/2022,Ruled Out,29/12/2022
Ryan Sessegnon,"Tottenham Hotspur
TRACK
4",Thigh Injury,09/01/2022,Ruled Out,29/12/2022
Peter Etebo,"Watford
TRACK
9",Thigh Injury,05/03/2022,Ruled Out,29/12/2022
Ismaila Sarr,"Watford
TRACK
9",Knee Injury,12/02/2022,Ruled Out,29/12/2022
Christian Kabasele,"Watford
TRACK
9",Calf/Shin/Heel Injury,15/01/2022,Ruled Out,29/12/2022
Ben Foster,"Watford
TRACK
9",Groin/Hip/Pelvic Injury,08/01/2022,Ruled Out,29/12/2022
Kwadwo Baah,"Watford
TRACK
9",Ankle/Foot Injury,No Return Date,Ruled Out,29/12/2022
Nicolas N'Koulou,"Watford
TRACK
9",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Danny Rose,"Watford
TRACK
9",Knee Injury,No Return Date,Ruled Out,29/12/2022
Tom Cleverley,"Watford
TRACK
9",Thigh Injury,No Return Date,Ruled Out,29/12/2022
Kiko Femenia,"Watford
TRACK
9",Other,No Return Date,25%,29/12/2022
Kurt Zouma,"West Ham United
TRACK
5",Thigh Injury,22/01/2022,Ruled Out,29/12/2022
Declan Rice,"West Ham United
TRACK
5",Suspended,01/01/2022,Ruled Out,29/12/2022
Angelo Ogbonna,"West Ham United
TRACK
5",Knee Injury,No Return Date,Ruled Out,29/12/2022
Pablo Fornals,"West Ham United
TRACK
5",Illness,No Return Date,Ruled Out,29/12/2022
Aaron Cresswell,"West Ham United
TRACK
5",Lower Back Injury,No Return Date,Ruled Out,29/12/2022
Yerson Mosquera,"Wolverhampton Wanderers
TRACK
7",Thigh Injury,26/02/2022,Ruled Out,29/12/2022
Jonny Castro Otto,"Wolverhampton Wanderers
TRACK
7",Knee Injury,10/02/2022,Ruled Out,29/12/2022
Hee-Chan Hwang,"Wolverhampton Wanderers
TRACK
7",Thigh Injury,10/02/2022,Ruled Out,29/12/2022
Rayan Ait Nouri,"Wolverhampton Wanderers
TRACK
7",Groin/Hip/Pelvic Injury,09/01/2022,Ruled Out,29/12/2022
Pedro Lomba Neto,"Wolverhampton Wanderers
TRACK
7",Knee Injury,No Return Date,Ruled Out,29/12/2022
Fabio Soares Silva,"Wolverhampton Wanderers
TRACK
7",Illness,No Return Date,Ruled Out,29/12/2022
Willy Boly,"Wolverhampton Wanderers
TRACK
7",Calf/Shin/Heel Injury,No Return Date,Ruled Out,29/12/2022
