Name,Team,Reason,Potantial Return,Status,Date
Maxwel Cornet,Burnley,Other,No Return Date,Ruled Out,04/01/2022
Connor Roberts,Burnley,Illness,No Return Date,Ruled Out,04/01/2022
Ashley Barnes,Burnley,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Reece James,Chelsea,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Andreas Christensen,Chelsea,Lower Back Injury,No Return Date,Ruled Out,04/01/2022
Romelu Lukaku,Chelsea,Other,No Return Date,Ruled Out,04/01/2022
Trevoh Chalobah,Chelsea,Thigh Injury,No Return Date,25%,04/01/2022
Edouard Mendy,Chelsea,Other,No Return Date,Ruled Out,04/01/2022
Timo Werner,Chelsea,Illness,No Return Date,Ruled Out,04/01/2022
Ruben Loftus-Cheek,Chelsea,Ankle/Foot Injury,No Return Date,25%,04/01/2022
Ben Chilwell,Chelsea,Knee Injury,No Return Date,Ruled Out,04/01/2022
James McArthur,Crystal Palace,Thigh Injury,14/01/2022,Ruled Out,04/01/2022
Nathaniel Clyne,Crystal Palace,Illness,08/01/2022,50%,04/01/2022
Conor Gallagher,Crystal Palace,Illness,08/01/2022,50%,04/01/2022
Wilfried Zaha,Crystal Palace,Illness,No Return Date,Ruled Out,04/01/2022
Cheikhou Kouyate,Crystal Palace,Illness,No Return Date,Ruled Out,04/01/2022
Jordan Ayew,Crystal Palace,Other,No Return Date,Ruled Out,04/01/2022
Richarlison de Andrade,Everton,Calf/Shin/Heel Injury,15/01/2022,Ruled Out,04/01/2022
Fabian Delph,Everton,Illness,08/01/2022,25%,04/01/2022
Tom Davies,Everton,Knee Injury,08/01/2022,25%,04/01/2022
Jarrad Branthwaite,Everton,Other,No Return Date,25%,04/01/2022
Alex Iwobi,Everton,Other,No Return Date,Ruled Out,04/01/2022
Yerry Mina,Everton,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
Andros Townsend,Everton,Ankle/Foot Injury,No Return Date,Ruled Out,04/01/2022
Liam Cooper,Leeds United,Thigh Injury,12/03/2022,Ruled Out,04/01/2022
Kalvin Phillips,Leeds United,Thigh Injury,12/03/2022,Ruled Out,04/01/2022
Jamie Shackleton,Leeds United,Calf/Shin/Heel Injury,09/02/2022,Ruled Out,04/01/2022
Tyler Roberts,Leeds United,Suspended,22/01/2022,Ruled Out,04/01/2022
Diego Llorente,Leeds United,Suspended,22/01/2022,Ruled Out,04/01/2022
Patrick Bamford,Leeds United,Thigh Injury,09/01/2022,50%,04/01/2022
Rodrigo Moreno Machado,Leeds United,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
Pascal Struijk,Leeds United,Ankle/Foot Injury,No Return Date,Ruled Out,04/01/2022
Charlie Cresswell,Leeds United,Shoulder Injury,No Return Date,Ruled Out,04/01/2022
Ricardo Barbosa Pereira,Leicester City,Calf/Shin/Heel Injury,13/02/2022,Ruled Out,04/01/2022
Wesley Fofana,Leicester City,Ankle/Foot Injury,10/02/2022,Ruled Out,04/01/2022
Jamie Vardy,Leicester City,Thigh Injury,23/01/2022,Ruled Out,04/01/2022
Jonny Evans,Leicester City,Thigh Injury,23/01/2022,Ruled Out,04/01/2022
Caglar Soyuncu,Leicester City,Thigh Injury,23/01/2022,Ruled Out,04/01/2022
Patson Daka,Leicester City,Thigh Injury,15/01/2022,Ruled Out,04/01/2022
James Maddison,Leicester City,Calf/Shin/Heel Injury,08/01/2022,100%,04/01/2022
Harvey Barnes,Leicester City,Illness,08/01/2022,75%,04/01/2022
Ryan Bertrand,Leicester City,Knee Injury,08/01/2022,50%,04/01/2022
James Justin,Leicester City,Knee Injury,No Return Date,Ruled Out,04/01/2022
Nathaniel Phillips,Liverpool,Head/Face Injury,15/01/2022,Ruled Out,04/01/2022
Takumi Minamino,Liverpool,Other,09/01/2022,50%,04/01/2022
Andrew Robertson,Liverpool,Suspended,06/01/2022,100%,04/01/2022
Thiago Alcantara,Liverpool,Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,04/01/2022
Alisson Becker,Liverpool,Illness,No Return Date,Ruled Out,04/01/2022
Roberto Firmino,Liverpool,Illness,No Return Date,Ruled Out,04/01/2022
Joel Matip,Liverpool,Illness,No Return Date,Ruled Out,04/01/2022
Mohamed Salah,Liverpool,Other,No Return Date,Ruled Out,04/01/2022
Sadio Mane,Liverpool,Other,No Return Date,Ruled Out,04/01/2022
Naby Keita,Liverpool,Other,No Return Date,Ruled Out,04/01/2022
Divock Origi,Liverpool,Knee Injury,No Return Date,25%,04/01/2022
Harvey Elliott,Liverpool,Ankle/Foot Injury,No Return Date,Ruled Out,04/01/2022
John Stones,Manchester City,Other,15/01/2022,50%,04/01/2022
Liam Delap,Manchester City,Ankle/Foot Injury,No Return Date,Ruled Out,04/01/2022
Philip Foden,Manchester City,Illness,No Return Date,Ruled Out,04/01/2022
Oleksandr Zinchenko,Manchester City,Illness,No Return Date,Ruled Out,04/01/2022
Benjamin Mendy,Manchester City,Suspended,No Return Date,Ruled Out,04/01/2022
Riyad Mahrez,Manchester City,Other,No Return Date,Ruled Out,04/01/2022
Scott McTominay,Manchester United,Suspended,22/01/2022,Ruled Out,04/01/2022
Luke Shaw,Manchester United,Suspended,22/01/2022,Ruled Out,04/01/2022
Paul Pogba,Manchester United,Groin/Hip/Pelvic Injury,22/01/2022,Ruled Out,04/01/2022
Eric Bertrand Bailly,Manchester United,Other,No Return Date,Ruled Out,04/01/2022
Harry Maguire,Manchester United,Chest/Abdominal Injury,10/01/2022,50%,04/01/2022
Anthony Martial,Manchester United,Knee Injury,10/01/2022,50%,04/01/2022
Victor Lindelof,Manchester United,Illness,10/01/2022,75%,04/01/2022
Federico Fernandez,Newcastle United,Thigh Injury,22/01/2022,Ruled Out,04/01/2022
Jamal Lewis,Newcastle United,Thigh Injury,15/01/2022,Ruled Out,04/01/2022
Javier Manquillo,Newcastle United,Suspended,15/01/2022,Ruled Out,04/01/2022
Isaac Hayden,Newcastle United,Knee Injury,No Return Date,Ruled Out,04/01/2022
Paul Dummett,Newcastle United,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
Callum Wilson,Newcastle United,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
Allan Saint-Maximin,Newcastle United,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
Karl Darlow,Newcastle United,Other,No Return Date,25%,04/01/2022
Ciaran Clark,Newcastle United,Other,No Return Date,Ruled Out,04/01/2022
Joseph Willock,Newcastle United,Other,No Return Date,Ruled Out,04/01/2022
Matt Ritchie,Newcastle United,Other,No Return Date,Ruled Out,04/01/2022
Ryan Fraser,Newcastle United,Thigh Injury,No Return Date,25%,04/01/2022
Grant Hanley,Norwich City,Shoulder Injury,15/01/2022,Ruled Out,04/01/2022
Christoph Zimmermann,Norwich City,Ankle/Foot Injury,15/01/2022,Ruled Out,04/01/2022
Dimitris Giannoulis,Norwich City,Other,09/01/2022,50%,04/01/2022
Milot Rashica,Norwich City,Groin/Hip/Pelvic Injury,09/01/2022,50%,04/01/2022
Andrew Omobamidele,Norwich City,Lower Back Injury,09/01/2022,Ruled Out,04/01/2022
Lukas Rupp,Norwich City,Illness,09/01/2022,75%,04/01/2022
Tim Krul,Norwich City,Illness,09/01/2022,75%,04/01/2022
Mathias Normann,Norwich City,Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,04/01/2022
Maximillian Aarons,Norwich City,Illness,No Return Date,Ruled Out,04/01/2022
Todd Cantwell,Norwich City,Illness,No Return Date,Ruled Out,04/01/2022
Teemu Pukki,Norwich City,Illness,No Return Date,Ruled Out,04/01/2022
Mohamed Salisu,Southampton,Suspended,15/01/2022,Ruled Out,04/01/2022
Alex McCarthy,Southampton,Thigh Injury,08/01/2022,Ruled Out,04/01/2022
Jack Stephens,Southampton,Illness,08/01/2022,75%,04/01/2022
Nathan Tella,Southampton,Illness,08/01/2022,50%,04/01/2022
Lyanco Silveira Neves Vojnovic,Southampton,Illness,08/01/2022,75%,04/01/2022
Kyle Walker-Peters,Southampton,Suspended,08/01/2022,Ruled Out,04/01/2022
Che Adams,Southampton,Illness,08/01/2022,50%,04/01/2022
William Smallbone,Southampton,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
Valentino Livramento,Southampton,Knee Injury,No Return Date,25%,04/01/2022
Steven Bergwijn,Tottenham Hotspur,Calf/Shin/Heel Injury,16/01/2022,Ruled Out,04/01/2022
Cristian Romero,Tottenham Hotspur,Thigh Injury,16/01/2022,Ruled Out,04/01/2022
Ryan Sessegnon,Tottenham Hotspur,Thigh Injury,09/01/2022,Ruled Out,04/01/2022
Peter Etebo,Watford,Thigh Injury,05/03/2022,Ruled Out,04/01/2022
Ismaila Sarr,Watford,Knee Injury,12/02/2022,Ruled Out,04/01/2022
Christian Kabasele,Watford,Calf/Shin/Heel Injury,15/01/2022,Ruled Out,04/01/2022
Ben Foster,Watford,Groin/Hip/Pelvic Injury,08/01/2022,50%,04/01/2022
Imran Louza,Watford,Other,No Return Date,Ruled Out,04/01/2022
Adam Masina,Watford,Other,No Return Date,Ruled Out,04/01/2022
William Troost-Ekong,Watford,Other,No Return Date,Ruled Out,04/01/2022
Kwadwo Baah,Watford,Ankle/Foot Injury,No Return Date,Ruled Out,04/01/2022
Nicolas N'Koulou,Watford,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Danny Rose,Watford,Knee Injury,No Return Date,Ruled Out,04/01/2022
Kiko Femenia,Watford,Thigh Injury,No Return Date,Ruled Out,04/01/2022
Kurt Zouma,West Ham United,Thigh Injury,22/01/2022,Ruled Out,04/01/2022
Angelo Ogbonna,West Ham United,Knee Injury,No Return Date,Ruled Out,04/01/2022
Pablo Fornals,West Ham United,Illness,No Return Date,Ruled Out,04/01/2022
Aaron Cresswell,West Ham United,Lower Back Injury,No Return Date,Ruled Out,04/01/2022
Yerson Mosquera,Wolverhampton Wanderers,Thigh Injury,26/02/2022,Ruled Out,04/01/2022
Jonny Castro Otto,Wolverhampton Wanderers,Knee Injury,10/02/2022,Ruled Out,04/01/2022
Hee-Chan Hwang,Wolverhampton Wanderers,Thigh Injury,10/02/2022,Ruled Out,04/01/2022
Romain Saiss,Wolverhampton Wanderers,Other,No Return Date,Ruled Out,04/01/2022
Pedro Lomba Neto,Wolverhampton Wanderers,Knee Injury,No Return Date,Ruled Out,04/01/2022
Willy Boly,Wolverhampton Wanderers,Calf/Shin/Heel Injury,No Return Date,Ruled Out,04/01/2022
